id,queue_name,entity_id,entity_table,action,simulation_time,simulation_datetime,priority,queue_length_before,queue_length_after,wait_time
98,FIFOQueue,18,Project,exit,1999.719500228062,2024-01-02 09:19:43.170014,,1,0,0.0
99,FIFOQueue,19,Project,entry,2039.4577948582755,2024-01-02 09:59:27.467691,,0,1,
100,FIFOQueue,17,Project,entry,2040.413825127228,2024-01-02 10:00:24.829508,,1,2,
101,FIFOQueue,19,Project,exit,2040.413825127228,2024-01-02 10:00:24.829508,,2,1,0.9560302689524178
102,FIFOQueue,17,Project,exit,2040.413825127228,2024-01-02 10:00:24.829508,,1,0,0.0
103,FIFOQueue,20,Project,entry,2047.9320934568905,2024-01-02 10:07:55.925607,,0,1,
104,FIFOQueue,18,Project,entry,2057.8003423815812,2024-01-02 10:17:48.020543,,1,2,
105,FIFOQueue,20,Project,exit,2057.8003423815812,2024-01-02 10:17:48.020543,,2,1,9.86824892469076
106,FIFOQueue,18,Project,exit,2057.8003423815812,2024-01-02 10:17:48.020543,,1,0,0.0
107,FIFOQueue,19,Project,entry,2116.715458119996,2024-01-02 11:16:42.927487,,0,1,
108,FIFOQueue,19,Project,exit,2116.715458119996,2024-01-02 11:16:42.927487,,1,0,0.0
109,FIFOQueue,20,Project,entry,2120.101403420535,2024-01-02 11:20:06.084205,,0,1,
110,FIFOQueue,20,Project,exit,2120.101403420535,2024-01-02 11:20:06.084205,,1,0,0.0
111,FIFOQueue,21,Project,entry,2137.908581270457,2024-01-02 11:37:54.514876,,0,1,
112,FIFOQueue,21,Project,exit,2137.908581270457,2024-01-02 11:37:54.514876,,1,0,0.0
113,FIFOQueue,16,Project,entry,2170.073924621306,2024-01-02 12:10:04.435477,,0,1,
114,FIFOQueue,16,Project,exit,2170.073924621306,2024-01-02 12:10:04.435477,,1,0,0.0
115,FIFOQueue,22,Project,entry,2170.192833496871,2024-01-02 12:10:11.570010,,0,1,
116,FIFOQueue,22,Project,exit,2170.192833496871,2024-01-02 12:10:11.570010,,1,0,0.0
117,FIFOQueue,21,Project,entry,2208.7572517992244,2024-01-02 12:48:45.435108,,0,1,
118,FIFOQueue,21,Project,exit,2208.7572517992244,2024-01-02 12:48:45.435108,,1,0,0.0
119,FIFOQueue,22,Project,entry,2224.0225741496492,2024-01-02 13:04:01.354449,,0,1,
120,FIFOQueue,22,Project,exit,2224.0225741496492,2024-01-02 13:04:01.354449,,1,0,0.0
121,FIFOQueue,23,Project,entry,2254.4318029385076,2024-01-02 13:34:25.908176,,0,1,
122,FIFOQueue,23,Project,exit,2254.4318029385076,2024-01-02 13:34:25.908176,,1,0,0.0
123,FIFOQueue,17,Project,entry,2268.9458440651483,2024-01-02 13:48:56.750644,,0,1,
124,FIFOQueue,17,Project,exit,2268.9458440651483,2024-01-02 13:48:56.750644,,1,0,0.0
125,FIFOQueue,20,Project,entry,2277.661352357707,2024-01-02 13:57:39.681141,,0,1,
126,FIFOQueue,20,Project,exit,2277.661352357707,2024-01-02 13:57:39.681141,,1,0,0.0
127,FIFOQueue,23,Project,entry,2312.13921169105,2024-01-02 14:32:08.352701,,0,1,
128,FIFOQueue,23,Project,exit,2312.13921169105,2024-01-02 14:32:08.352701,,1,0,0.0
129,FIFOQueue,18,Project,entry,2335.871657706244,2024-01-02 14:55:52.299462,,0,1,
130,FIFOQueue,18,Project,exit,2335.871657706244,2024-01-02 14:55:52.299462,,1,0,0.0
131,FIFOQueue,19,Project,entry,2356.0676033861314,2024-01-02 15:16:04.056203,,0,1,
132,FIFOQueue,19,Project,exit,2356.0676033861314,2024-01-02 15:16:04.056203,,1,0,0.0
133,FIFOQueue,24,Project,entry,2421.4599711132455,2024-01-02 16:21:27.598267,,0,1,
134,FIFOQueue,24,Project,exit,2421.4599711132455,2024-01-02 16:21:27.598267,,1,0,0.0
135,FIFOQueue,22,Project,entry,2429.325081603328,2024-01-02 16:29:19.504896,,0,1,
136,FIFOQueue,22,Project,exit,2429.325081603328,2024-01-02 16:29:19.504896,,1,0,0.0
137,FIFOQueue,21,Project,entry,2449.527504446934,2024-01-02 16:49:31.650267,,0,1,
138,FIFOQueue,21,Project,exit,2449.527504446934,2024-01-02 16:49:31.650267,,1,0,0.0
139,FIFOQueue,24,Project,entry,2481.752104694202,2024-01-02 17:21:45.126282,,0,1,
140,FIFOQueue,24,Project,exit,2481.752104694202,2024-01-02 17:21:45.126282,,1,0,0.0
141,FIFOQueue,24,Project,entry,2506.747115834251,2024-01-02 17:46:44.826950,,0,1,
142,FIFOQueue,24,Project,exit,2506.747115834251,2024-01-02 17:46:44.826950,,1,0,0.0
143,FIFOQueue,23,Project,entry,2564.062392757648,2024-01-02 18:44:03.743565,,0,1,
144,FIFOQueue,23,Project,exit,2564.062392757648,2024-01-02 18:44:03.743565,,1,0,0.0
145,FIFOQueue,25,Project,entry,2608.4215979029054,2024-01-02 19:28:25.295874,,0,1,
146,FIFOQueue,25,Project,exit,2608.4215979029054,2024-01-02 19:28:25.295874,,1,0,0.0
147,FIFOQueue,26,Project,entry,2636.468600968271,2024-01-02 19:56:28.116058,,0,1,
148,FIFOQueue,26,Project,exit,2636.468600968271,2024-01-02 19:56:28.116058,,1,0,0.0
149,FIFOQueue,25,Project,entry,2676.8504071177344,2024-01-02 20:36:51.024427,,0,1,
150,FIFOQueue,25,Project,exit,2676.8504071177344,2024-01-02 20:36:51.024427,,1,0,0.0
151,FIFOQueue,26,Project,entry,2709.939103699774,2024-01-02 21:09:56.346222,,0,1,
152,FIFOQueue,26,Project,exit,2709.939103699774,2024-01-02 21:09:56.346222,,1,0,0.0
153,FIFOQueue,27,Project,entry,2801.032068806543,2024-01-02 22:41:01.924128,,0,1,
154,FIFOQueue,27,Project,exit,2801.032068806543,2024-01-02 22:41:01.924128,,1,0,0.0
155,FIFOQueue,28,Project,entry,2827.0688260671886,2024-01-02 23:07:04.129564,,0,1,
156,FIFOQueue,28,Project,exit,2827.0688260671886,2024-01-02 23:07:04.129564,,1,0,0.0
157,FIFOQueue,29,Project,entry,2835.981777068313,2024-01-02 23:15:58.906624,,0,1,
158,FIFOQueue,27,Project,entry,2859.3700466799723,2024-01-02 23:39:22.202801,,1,2,
159,FIFOQueue,29,Project,exit,2859.3700466799723,2024-01-02 23:39:22.202801,,2,1,23.388269611659325
160,FIFOQueue,27,Project,exit,2859.3700466799723,2024-01-02 23:39:22.202801,,1,0,0.0
161,FIFOQueue,28,Project,entry,2882.8636012984616,2024-01-03 00:02:51.816078,,0,1,
162,FIFOQueue,28,Project,exit,2882.8636012984616,2024-01-03 00:02:51.816078,,1,0,0.0
163,FIFOQueue,30,Project,entry,2910.555419991046,2024-01-03 00:30:33.325199,,0,1,
164,FIFOQueue,30,Project,exit,2910.555419991046,2024-01-03 00:30:33.325199,,1,0,0.0
165,FIFOQueue,29,Project,entry,2919.3852631921677,2024-01-03 00:39:23.115792,,0,1,
166,FIFOQueue,29,Project,exit,2919.3852631921677,2024-01-03 00:39:23.115792,,1,0,0.0
167,FIFOQueue,26,Project,entry,2963.0249106716283,2024-01-03 01:23:01.494640,,0,1,
168,FIFOQueue,26,Project,exit,2963.0249106716283,2024-01-03 01:23:01.494640,,1,0,0.0
169,FIFOQueue,25,Project,entry,2966.319265435922,2024-01-03 01:26:19.155926,,0,1,
170,FIFOQueue,25,Project,exit,2966.319265435922,2024-01-03 01:26:19.155926,,1,0,0.0
171,FIFOQueue,30,Project,entry,2970.65448555882,2024-01-03 01:30:39.269134,,0,1,
172,FIFOQueue,30,Project,exit,2970.65448555882,2024-01-03 01:30:39.269134,,1,0,0.0
173,FIFOQueue,28,Project,entry,2971.8512809268454,2024-01-03 01:31:51.076856,,0,1,
174,FIFOQueue,28,Project,exit,2971.8512809268454,2024-01-03 01:31:51.076856,,1,0,0.0
175,FIFOQueue,31,Project,entry,3033.2120912686573,2024-01-03 02:33:12.725476,,0,1,
176,FIFOQueue,31,Project,exit,3033.2120912686573,2024-01-03 02:33:12.725476,,1,0,0.0
177,FIFOQueue,29,Project,entry,3064.9983553263814,2024-01-03 03:04:59.901320,,0,1,
178,FIFOQueue,29,Project,exit,3064.9983553263814,2024-01-03 03:04:59.901320,,1,0,0.0
179,FIFOQueue,32,Project,entry,3080.1661465153165,2024-01-03 03:20:09.968791,,0,1,
180,FIFOQueue,32,Project,exit,3080.1661465153165,2024-01-03 03:20:09.968791,,1,0,0.0
181,FIFOQueue,31,Project,entry,3092.3380851823154,2024-01-03 03:32:20.285111,,0,1,
182,FIFOQueue,31,Project,exit,3092.3380851823154,2024-01-03 03:32:20.285111,,1,0,0.0
183,FIFOQueue,32,Project,entry,3134.520067089941,2024-01-03 04:14:31.204025,,0,1,
184,FIFOQueue,32,Project,exit,3134.520067089941,2024-01-03 04:14:31.204025,,1,0,0.0
185,FIFOQueue,27,Project,entry,3215.984024922689,2024-01-03 05:35:59.041495,,0,1,
186,FIFOQueue,27,Project,exit,3215.984024922689,2024-01-03 05:35:59.041495,,1,0,0.0
187,FIFOQueue,33,Project,entry,3219.9503163244153,2024-01-03 05:39:57.018979,,0,1,
188,FIFOQueue,33,Project,exit,3219.9503163244153,2024-01-03 05:39:57.018979,,1,0,0.0
189,FIFOQueue,34,Project,entry,3223.189650131843,2024-01-03 05:43:11.379008,,0,1,
190,FIFOQueue,34,Project,exit,3223.189650131843,2024-01-03 05:43:11.379008,,1,0,0.0
191,FIFOQueue,30,Project,entry,3245.326338112216,2024-01-03 06:05:19.580287,,0,1,
